Capacity,Occupancy,LastUpdated
720,377,2021-10-04 07:59:42
720,446,2021-10-04 08:25:42
720,517,2021-10-04 08:59:42
720,569,2021-10-04 09:32:46
720,616,2021-10-04 09:59:48
720,638,2021-10-04 10:26:49
720,658,2021-10-04 10:59:48
720,663,2021-10-04 11:25:47
720,676,2021-10-04 11:59:44
720,681,2021-10-04 12:29:45
720,675,2021-10-04 13:02:48
720,674,2021-10-04 13:29:45
720,673,2021-10-04 14:02:47
720,669,2021-10-04 14:29:49
720,654,2021-10-04 14:57:13
720,622,2021-10-04 15:30:14
720,570,2021-10-04 16:04:12
720,510,2021-10-04 16:31:14
720,373,2021-10-05 07:57:17
720,446,2021-10-05 08:30:15
720,505,2021-10-05 09:04:19
720,554,2021-10-05 09:30:15
720,607,2021-10-05 10:04:15
720,643,2021-10-05 10:30:17
720,653,2021-10-05 11:04:19
720,656,2021-10-05 11:30:18
720,667,2021-10-05 12:04:14
720,667,2021-10-05 12:30:16
720,662,2021-10-05 12:57:15
720,666,2021-10-05 13:30:19
720,658,2021-10-05 13:57:20
720,642,2021-10-05 14:30:17
720,631,2021-10-05 14:57:19
720,605,2021-10-05 15:30:15
720,562,2021-10-05 16:04:18
720,505,2021-10-05 16:30:17
720,390,2021-10-06 07:57:25
720,468,2021-10-06 08:30:20
720,535,2021-10-06 08:57:22
720,585,2021-10-06 09:30:20
720,624,2021-10-06 10:03:20
720,639,2021-10-06 10:30:20
720,659,2021-10-06 10:57:20
720,670,2021-10-06 11:30:22
720,683,2021-10-06 12:04:24
720,685,2021-10-06 12:30:24
720,694,2021-10-06 12:57:21
720,692,2021-10-06 13:30:21
720,697,2021-10-06 13:57:22
720,687,2021-10-06 14:30:23
720,663,2021-10-06 15:04:22
720,627,2021-10-06 15:31:22
720,577,2021-10-06 16:04:23
720,507,2021-10-06 16:30:27
720,345,2021-10-07 08:03:27
720,414,2021-10-07 08:30:27
720,476,2021-10-07 09:04:13
720,505,2021-10-07 09:30:27
720,545,2021-10-07 09:57:27
720,567,2021-10-07 10:30:27
720,573,2021-10-07 10:57:30
720,573,2021-10-07 11:30:28
720,573,2021-10-07 12:03:29
720,581,2021-10-07 12:30:28
720,585,2021-10-07 13:04:28
720,577,2021-10-07 13:30:29
720,569,2021-10-07 14:03:28
720,551,2021-10-07 14:30:32
720,546,2021-10-07 15:04:30
720,514,2021-10-07 15:30:32
720,465,2021-10-07 15:57:31
720,403,2021-10-07 16:30:29
720,191,2021-10-08 07:57:38
720,212,2021-10-08 08:30:37
720,248,2021-10-08 08:57:34
720,278,2021-10-08 09:30:37
720,305,2021-10-08 10:04:34
720,322,2021-10-08 10:30:34
720,337,2021-10-08 10:57:34
720,364,2021-10-08 11:30:38
720,392,2021-10-08 12:04:34
720,411,2021-10-08 12:30:36
720,420,2021-10-08 13:04:39
720,424,2021-10-08 13:30:36
720,438,2021-10-08 14:03:38
720,428,2021-10-08 14:30:35
720,428,2021-10-08 14:57:41
720,411,2021-10-08 15:30:39
720,383,2021-10-08 16:04:39
720,349,2021-10-08 16:30:42
720,183,2021-10-09 08:04:40
720,193,2021-10-09 08:30:45
720,196,2021-10-09 08:57:45
720,196,2021-10-09 09:30:45
720,198,2021-10-09 09:50:41
720,205,2021-10-09 10:24:44
720,217,2021-10-09 11:04:44
720,223,2021-10-09 11:30:41
720,238,2021-10-09 11:57:46
720,259,2021-10-09 12:30:41
720,266,2021-10-09 13:04:43
720,264,2021-10-09 13:30:42
720,261,2021-10-09 14:03:42
720,256,2021-10-09 14:30:42
720,251,2021-10-09 15:04:44
720,244,2021-10-09 15:30:46
720,230,2021-10-09 16:03:43
720,212,2021-10-09 16:30:43
720,339,2021-10-10 08:04:47
720,397,2021-10-10 08:30:47
720,474,2021-10-10 09:04:47
720,527,2021-10-10 09:30:49
720,578,2021-10-10 10:03:48
720,592,2021-10-10 10:30:48
720,598,2021-10-10 10:57:52
720,592,2021-10-10 11:30:48
720,598,2021-10-10 11:57:49
720,614,2021-10-10 12:30:48
720,620,2021-10-10 13:04:49
720,612,2021-10-10 13:30:49
720,606,2021-10-10 14:03:49
720,595,2021-10-10 14:30:49
720,583,2021-10-10 14:57:54
720,556,2021-10-10 15:30:49
720,517,2021-10-10 15:57:55
720,448,2021-10-10 16:30:49
720,321,2021-10-11 08:04:57
720,393,2021-10-11 08:30:54
720,453,2021-10-11 08:57:56
720,521,2021-10-11 09:30:55
720,567,2021-10-11 09:57:59
720,611,2021-10-11 10:30:54
720,621,2021-10-11 10:57:55
720,630,2021-10-11 11:30:59
720,630,2021-10-11 12:03:55
720,641,2021-10-11 12:30:56
720,641,2021-10-11 13:04:00
720,636,2021-10-11 13:31:01
720,629,2021-10-11 14:04:00
720,608,2021-10-11 14:30:56
720,593,2021-10-11 15:00:59
720,556,2021-10-11 15:33:56
720,508,2021-10-11 16:01:00
720,446,2021-10-11 16:26:56
720,373,2021-10-12 08:04:00
720,427,2021-10-12 08:31:01
720,508,2021-10-12 09:03:59
720,561,2021-10-12 09:26:58
720,623,2021-10-12 10:01:04
720,637,2021-10-12 10:31:04
720,645,2021-10-12 10:57:04
720,648,2021-10-12 11:31:05
720,640,2021-10-12 12:04:04
720,652,2021-10-12 12:31:05
720,645,2021-10-12 13:04:04
720,633,2021-10-12 13:34:03
720,628,2021-10-12 13:47:02
720,621,2021-10-12 14:34:04
720,595,2021-10-12 15:01:03
720,568,2021-10-12 15:30:59
720,527,2021-10-12 15:57:05
720,448,2021-10-12 16:31:05
720,331,2021-10-13 07:57:02
720,434,2021-10-13 08:31:06
720,515,2021-10-13 09:04:02
720,560,2021-10-13 09:31:01
720,616,2021-10-13 09:57:08
720,640,2021-10-13 10:31:03
720,652,2021-10-13 11:04:08
720,658,2021-10-13 11:31:06
720,670,2021-10-13 11:57:06
720,668,2021-10-13 12:31:08
720,664,2021-10-13 13:04:04
720,667,2021-10-13 13:31:08
720,655,2021-10-13 13:57:07
720,645,2021-10-13 14:31:06
720,636,2021-10-13 15:04:08
720,605,2021-10-13 15:31:08
720,557,2021-10-13 16:04:08
720,483,2021-10-13 16:31:08
720,343,2021-10-14 08:01:05
720,406,2021-10-14 08:27:10
720,466,2021-10-14 09:01:08
720,511,2021-10-14 09:27:10
720,542,2021-10-14 10:01:11
720,556,2021-10-14 10:27:09
720,563,2021-10-14 11:01:07
720,568,2021-10-14 11:27:06
720,572,2021-10-14 12:01:11
720,569,2021-10-14 12:27:06
720,568,2021-10-14 13:01:11
720,559,2021-10-14 13:27:07
720,549,2021-10-14 14:01:11
720,541,2021-10-14 14:34:08
720,517,2021-10-14 15:01:12
720,472,2021-10-14 15:27:08
720,427,2021-10-14 16:01:11
720,370,2021-10-14 16:34:08
720,196,2021-10-15 08:01:11
720,226,2021-10-15 08:34:10
720,248,2021-10-15 09:01:09
720,276,2021-10-15 09:27:11
720,300,2021-10-15 10:01:12
720,324,2021-10-15 10:27:15
720,340,2021-10-15 11:01:14
720,351,2021-10-15 11:27:14
720,367,2021-10-15 12:01:12
720,381,2021-10-15 12:27:10
720,400,2021-10-15 13:01:14
720,417,2021-10-15 13:34:13
720,422,2021-10-15 14:01:13
720,425,2021-10-15 14:27:12
720,429,2021-10-15 15:01:13
720,401,2021-10-15 15:27:12
720,374,2021-10-15 16:01:15
720,347,2021-10-15 16:27:16
720,210,2021-10-16 08:04:13
720,233,2021-10-16 08:27:13
720,309,2021-10-16 09:01:15
720,389,2021-10-16 09:27:13
720,511,2021-10-16 10:04:13
720,571,2021-10-16 10:34:13
720,632,2021-10-16 11:01:13
720,669,2021-10-16 11:27:17
720,706,2021-10-16 12:01:16
720,700,2021-10-16 12:27:14
720,689,2021-10-16 13:01:16
720,637,2021-10-16 13:27:17
720,568,2021-10-16 14:01:18
720,489,2021-10-16 14:34:14
720,432,2021-10-16 15:01:18
720,384,2021-10-16 15:31:18
720,346,2021-10-16 15:57:16
720,289,2021-10-16 16:31:17
720,334,2021-10-17 08:01:16
720,389,2021-10-17 08:27:16
720,452,2021-10-17 09:01:17
720,500,2021-10-17 09:27:20
720,545,2021-10-17 10:04:20
720,567,2021-10-17 10:31:16
720,585,2021-10-17 11:04:20
720,591,2021-10-17 11:24:19
720,602,2021-10-17 12:04:19
720,603,2021-10-17 12:31:21
720,596,2021-10-17 12:57:17
720,590,2021-10-17 13:31:21
720,593,2021-10-17 14:04:21
720,588,2021-10-17 14:31:21
720,580,2021-10-17 14:57:18
720,552,2021-10-17 15:31:21
720,507,2021-10-17 15:57:17
720,433,2021-10-17 16:28:21
720,357,2021-10-18 08:01:23
720,410,2021-10-18 08:28:25
720,488,2021-10-18 09:01:23
720,531,2021-10-18 09:28:22
720,565,2021-10-18 10:01:25
720,591,2021-10-18 10:28:58
720,616,2021-10-18 11:01:57
720,620,2021-10-18 11:27:56
720,630,2021-10-18 12:01:59
720,633,2021-10-18 12:27:57
720,630,2021-10-18 13:01:56
720,631,2021-10-18 13:28:57
720,621,2021-10-18 13:54:59
720,611,2021-10-18 14:21:56
720,600,2021-10-18 15:01:58
720,571,2021-10-18 15:27:59
720,532,2021-10-18 15:55:00
720,477,2021-10-18 16:27:54
720,365,2021-10-19 08:05:03
720,416,2021-10-19 08:25:01
720,493,2021-10-19 08:58:05
720,570,2021-10-19 09:32:04
720,602,2021-10-19 09:58:04
720,636,2021-10-19 10:25:04
720,643,2021-10-19 10:59:00
720,643,2021-10-19 11:25:04
720,643,2021-10-19 11:59:05
720,645,2021-10-19 12:25:00
720,638,2021-10-19 12:58:01
720,636,2021-10-19 13:25:03
720,629,2021-10-19 13:58:02
720,617,2021-10-19 14:32:03
720,605,2021-10-19 14:58:03
720,574,2021-10-19 15:32:05
720,522,2021-10-19 15:59:01
720,450,2021-10-19 16:25:03
720,178,2021-10-22 07:59:45
720,182,2021-10-22 08:26:46
720,206,2021-10-22 08:59:44
720,228,2021-10-22 09:26:47
720,268,2021-10-22 09:59:44
720,280,2021-10-22 10:26:47
720,294,2021-10-22 10:59:47
720,316,2021-10-22 11:32:43
720,336,2021-10-22 11:59:46
720,345,2021-10-22 12:32:47
720,361,2021-10-22 12:59:47
720,367,2021-10-22 13:32:43
720,366,2021-10-22 13:59:48
720,366,2021-10-22 14:39:47
720,355,2021-10-22 14:59:48
720,352,2021-10-22 15:26:49
720,319,2021-10-22 15:59:47
720,301,2021-10-22 16:26:47
720,199,2021-10-23 07:59:48
720,202,2021-10-23 08:26:51
720,206,2021-10-23 08:59:50
720,211,2021-10-23 09:26:51
720,212,2021-10-23 09:59:52
720,212,2021-10-23 10:26:53
720,217,2021-10-23 10:59:53
720,224,2021-10-23 11:26:49
720,238,2021-10-23 11:59:50
720,254,2021-10-23 12:26:51
720,255,2021-10-23 12:59:56
720,257,2021-10-23 13:26:55
720,260,2021-10-23 13:59:53
720,256,2021-10-23 14:26:51
720,249,2021-10-23 14:59:53
720,245,2021-10-23 15:26:56
720,229,2021-10-23 15:59:54
720,212,2021-10-23 16:26:57
720,341,2021-10-24 07:56:56
720,402,2021-10-24 08:29:56
720,468,2021-10-24 09:03:01
720,518,2021-10-24 09:30:01
720,528,2021-10-24 09:55:57
720,538,2021-10-24 10:30:02
720,546,2021-10-24 11:03:03
720,557,2021-10-24 11:29:57
720,566,2021-10-24 11:50:00
720,577,2021-10-24 12:30:03
720,567,2021-10-24 12:56:58
720,558,2021-10-24 13:30:03
720,554,2021-10-24 13:56:01
720,549,2021-10-24 14:30:02
720,538,2021-10-24 14:56:02
720,523,2021-10-24 15:32:59
720,487,2021-10-24 16:00:04
720,430,2021-10-24 16:33:03
720,340,2021-10-25 08:00:03
720,395,2021-10-25 08:26:08
720,459,2021-10-25 09:00:03
720,483,2021-10-25 09:19:19
720,533,2021-10-25 09:56:19
720,556,2021-10-25 10:29:19
720,564,2021-10-25 10:56:23
720,569,2021-10-25 11:29:22
720,570,2021-10-25 12:02:23
720,570,2021-10-25 12:29:21
720,568,2021-10-25 13:03:20
720,570,2021-10-25 13:29:24
720,564,2021-10-25 13:56:21
720,560,2021-10-25 14:29:23
720,556,2021-10-25 15:02:24
720,535,2021-10-25 15:29:22
720,502,2021-10-25 15:56:25
720,429,2021-10-25 16:29:22
720,343,2021-10-26 07:59:26
720,416,2021-10-26 08:32:27
720,473,2021-10-26 08:59:29
720,514,2021-10-26 09:26:27
720,554,2021-10-26 09:59:25
720,566,2021-10-26 10:26:30
720,570,2021-10-26 10:59:30
720,571,2021-10-26 11:26:28
720,575,2021-10-26 11:59:29
720,578,2021-10-26 12:26:27
720,589,2021-10-26 12:59:31
720,582,2021-10-26 13:26:32
720,579,2021-10-26 13:59:26
720,580,2021-10-26 14:26:26
720,564,2021-10-26 14:59:30
720,546,2021-10-26 15:26:30
720,507,2021-10-26 15:59:32
720,421,2021-10-26 16:32:30
720,358,2021-10-27 07:59:33
720,418,2021-10-27 08:32:33
720,480,2021-10-27 08:59:33
720,515,2021-10-27 09:32:35
720,538,2021-10-27 09:59:37
720,551,2021-10-27 10:19:36
720,555,2021-10-27 10:59:38
720,563,2021-10-27 11:32:32
720,569,2021-10-27 11:59:38
720,577,2021-10-27 12:26:35
720,591,2021-10-27 12:59:36
720,583,2021-10-27 13:32:35
720,581,2021-10-27 13:59:37
720,575,2021-10-27 14:26:38
720,568,2021-10-27 14:59:37
720,545,2021-10-27 15:19:37
720,492,2021-10-27 15:59:38
720,444,2021-10-27 16:26:39
720,343,2021-10-28 08:16:41
720,343,2021-10-28 08:16:41
720,406,2021-10-28 08:56:40
720,442,2021-10-28 09:29:43
720,470,2021-10-28 10:02:44
720,483,2021-10-28 10:29:41
720,489,2021-10-28 10:56:43
720,492,2021-10-28 11:29:44
720,495,2021-10-28 12:02:44
720,496,2021-10-28 12:29:45
720,502,2021-10-28 13:02:43
720,497,2021-10-28 13:29:45
720,508,2021-10-28 14:02:39
720,495,2021-10-28 14:29:45
720,477,2021-10-28 15:02:43
720,464,2021-10-28 15:29:41
720,430,2021-10-28 16:02:40
720,390,2021-10-28 16:29:42
720,156,2021-10-29 07:59:48
720,170,2021-10-29 08:26:46
720,203,2021-10-29 08:59:48
720,214,2021-10-29 09:26:50
720,254,2021-10-29 09:59:51
720,294,2021-10-29 10:26:49
720,334,2021-10-29 10:59:46
720,344,2021-10-29 11:25:51
720,379,2021-10-29 12:06:51
720,392,2021-10-29 12:26:46
720,396,2021-10-29 12:59:51
720,405,2021-10-29 13:26:47
720,402,2021-10-29 13:59:51
720,396,2021-10-29 14:26:50
720,381,2021-10-29 14:59:51
720,360,2021-10-29 15:26:52
720,326,2021-10-29 15:59:51
720,302,2021-10-29 16:26:53
720,169,2021-10-30 07:59:55
720,169,2021-10-30 07:59:55
720,169,2021-10-30 07:59:55
720,168,2021-10-30 08:25:53
720,171,2021-10-30 08:59:52
720,172,2021-10-30 09:25:57
720,179,2021-10-30 09:52:58
720,191,2021-10-30 10:25:54
720,203,2021-10-30 10:59:56
720,213,2021-10-30 11:25:55
720,230,2021-10-30 11:59:58
720,242,2021-10-30 12:26:54
720,255,2021-10-30 13:06:59
720,257,2021-10-30 13:25:59
720,253,2021-10-30 13:59:59
720,247,2021-10-30 14:32:54
720,235,2021-10-30 15:00:00
720,227,2021-10-30 15:32:59
720,349,2021-10-31 08:00:03
720,416,2021-10-31 08:26:02
720,488,2021-10-31 09:00:00
720,529,2021-10-31 09:26:03
720,559,2021-10-31 10:00:05
720,574,2021-10-31 10:26:02
720,576,2021-10-31 11:00:02
720,579,2021-10-31 11:26:04
720,579,2021-10-31 12:00:04
720,584,2021-10-31 12:26:06
720,577,2021-10-31 13:00:06
720,581,2021-10-31 13:26:01
720,582,2021-10-31 13:59:47
720,579,2021-10-31 14:26:05
720,570,2021-10-31 15:00:03
720,556,2021-10-31 15:27:04
720,514,2021-10-31 16:00:07
720,457,2021-10-31 16:26:06
720,368,2021-11-01 08:06:07
720,420,2021-11-01 08:26:07
720,499,2021-11-01 09:00:08
720,537,2021-11-01 09:26:12
720,602,2021-11-01 10:00:08
720,613,2021-11-01 10:20:09
720,631,2021-11-01 11:00:09
720,635,2021-11-01 11:26:11
720,642,2021-11-01 12:00:08
720,652,2021-11-01 12:26:12
720,651,2021-11-01 13:00:12
720,649,2021-11-01 13:26:12
720,647,2021-11-01 14:00:09
720,644,2021-11-01 14:26:10
720,637,2021-11-01 15:00:12
720,618,2021-11-01 15:27:09
720,572,2021-11-01 16:00:09
720,499,2021-11-01 16:33:14
720,350,2021-11-02 07:56:18
720,417,2021-11-02 08:30:14
720,473,2021-11-02 08:56:14
720,557,2021-11-02 09:30:15
720,609,2021-11-02 09:56:15
720,640,2021-11-02 10:29:19
720,651,2021-11-02 10:56:16
720,653,2021-11-02 11:30:19
720,655,2021-11-02 11:56:19
720,650,2021-11-02 12:30:20
720,643,2021-11-02 13:03:20
720,640,2021-11-02 13:30:18
